Dataset = simulated.abs
Using 6 threads to run hyperparameter search
run = hpo
[I 2020-05-25 02:35:40,973] Finished trial#2 with value: 0.0 with parameters: {'learning_rate': 0.10492918156185563, 'max_depth': 2, 'min_child_weight': 6.516297465796531, 'reg_alpha': 1.8238975295779214, 'reg_lambda': 1.6491446561567327, 'aft_loss_distribution_scale': 5.983576128176064}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,255] Finished trial#50 with value: 0.0 with parameters: {'learning_rate': 0.006138681612141869, 'max_depth': 8, 'min_child_weight': 1.6755368972640416, 'reg_alpha': 2.439139387530522, 'reg_lambda': 1.6527115842894087, 'aft_loss_distribution_scale': 17.05472799826356}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,306] Finished trial#51 with value: 0.0 with parameters: {'learning_rate': 0.3147889180153987, 'max_depth': 2, 'min_child_weight': 6.593637960411337, 'reg_alpha': 0.25717294142547126, 'reg_lambda': 0.00011816206432594695, 'aft_loss_distribution_scale': 16.58808461303844}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,346] Finished trial#54 with value: 0.0 with parameters: {'learning_rate': 0.019136291965144544, 'max_depth': 8, 'min_child_weight': 11.34193852547024, 'reg_alpha': 0.0006994041210701547, 'reg_lambda': 0.00038818192081303875, 'aft_loss_distribution_scale': 6.718388095490756}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,387] Finished trial#52 with value: 0.0 with parameters: {'learning_rate': 0.5999457762263428, 'max_depth': 2, 'min_child_weight': 3.287241910839907, 'reg_alpha': 0.0018570274307021406, 'reg_lambda': 16.231556088399707, 'aft_loss_distribution_scale': 32.58564029203998}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,426] Finished trial#53 with value: 0.0 with parameters: {'learning_rate': 0.023965703984121917, 'max_depth': 6, 'min_child_weight': 1.1963418137840622, 'reg_alpha': 0.009019165679224244, 'reg_lambda': 82.53161421647157, 'aft_loss_distribution_scale': 5.557970469053345}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,467] Finished trial#55 with value: 0.0 with parameters: {'learning_rate': 0.009340733131528521, 'max_depth': 6, 'min_child_weight': 0.8367642179930892, 'reg_alpha': 0.00013619011291506847, 'reg_lambda': 0.0037083552962957275, 'aft_loss_distribution_scale': 6.944539832032952}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,532] Finished trial#56 with value: 0.0 with parameters: {'learning_rate': 0.011255218500194494, 'max_depth': 8, 'min_child_weight': 4.594201168300597, 'reg_alpha': 0.007975474143491298, 'reg_lambda': 0.00010660559305066679, 'aft_loss_distribution_scale': 1.1831171922615493}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,590] Finished trial#61 with value: 0.0 with parameters: {'learning_rate': 0.0019303277792775183, 'max_depth': 10, 'min_child_weight': 0.29745059843538973, 'reg_alpha': 0.0008497761688255684, 'reg_lambda': 0.016911224656460132, 'aft_loss_distribution_scale': 6.209749820221372}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,628] Finished trial#58 with value: 0.0 with parameters: {'learning_rate': 0.07228784933235777, 'max_depth': 4, 'min_child_weight': 75.39226158692213, 'reg_alpha': 0.010743723616287507, 'reg_lambda': 0.0011108983469308256, 'aft_loss_distribution_scale': 1.1160989275599091}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,669] Finished trial#57 with value: 0.0 with parameters: {'learning_rate': 0.049891844441377405, 'max_depth': 8, 'min_child_weight': 9.655884300296098, 'reg_alpha': 0.00028417221617872213, 'reg_lambda': 1.120480576424081, 'aft_loss_distribution_scale': 28.631936264133987}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,709] Finished trial#60 with value: 0.0 with parameters: {'learning_rate': 0.09048300800156056, 'max_depth': 4, 'min_child_weight': 68.66291119351004, 'reg_alpha': 0.0006026255264945083, 'reg_lambda': 33.21423443923624, 'aft_loss_distribution_scale': 6.523902677194976}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,750] Finished trial#59 with value: 0.0 with parameters: {'learning_rate': 0.039171741019708564, 'max_depth': 4, 'min_child_weight': 11.594662806787753, 'reg_alpha': 0.000158628635109059, 'reg_lambda': 42.74071470019488, 'aft_loss_distribution_scale': 5.307736844487569}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,807] Finished trial#62 with value: 0.0 with parameters: {'learning_rate': 0.16461322015067292, 'max_depth': 2, 'min_child_weight': 12.438117064546002, 'reg_alpha': 0.0019477890315725702, 'reg_lambda': 0.1746131427862158, 'aft_loss_distribution_scale': 10.210906271391375}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,871] Finished trial#65 with value: 0.0 with parameters: {'learning_rate': 0.5568436063444798, 'max_depth': 8, 'min_child_weight': 46.05314340042865, 'reg_alpha': 30.300500505010746, 'reg_lambda': 0.01443107005128303, 'aft_loss_distribution_scale': 2.770529358814611}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,908] Finished trial#64 with value: 0.0 with parameters: {'learning_rate': 0.18613875592715237, 'max_depth': 10, 'min_child_weight': 20.06316305020368, 'reg_alpha': 10.997131925114049, 'reg_lambda': 0.0015438056609444629, 'aft_loss_distribution_scale': 6.596431996384485}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,947] Finished trial#63 with value: 0.0 with parameters: {'learning_rate': 0.04325917613897899, 'max_depth': 6, 'min_child_weight': 0.12059151447859826, 'reg_alpha': 0.0006384453096515669, 'reg_lambda': 0.26522316567147425, 'aft_loss_distribution_scale': 21.84145761628334}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,990] Finished trial#67 with value: 0.0 with parameters: {'learning_rate': 0.14051011477306063, 'max_depth': 2, 'min_child_weight': 83.57789225214613, 'reg_alpha': 0.10282607391074441, 'reg_lambda': 10.78785470223371, 'aft_loss_distribution_scale': 67.82772051404939}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,030] Finished trial#66 with value: 0.0 with parameters: {'learning_rate': 0.2069666235751779, 'max_depth': 8, 'min_child_weight': 64.80664637316134, 'reg_alpha': 0.03367248914912474, 'reg_lambda': 0.0001875603149521646, 'aft_loss_distribution_scale': 21.51706819701733}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,077] Finished trial#68 with value: 0.0 with parameters: {'learning_rate': 0.048571713405552275, 'max_depth': 10, 'min_child_weight': 0.12398214269062191, 'reg_alpha': 31.030609603576604, 'reg_lambda': 8.627707054086484, 'aft_loss_distribution_scale': 1.155195362720111}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,154] Finished trial#71 with value: 0.0 with parameters: {'learning_rate': 0.05685976896707488, 'max_depth': 4, 'min_child_weight': 0.20951513737344477, 'reg_alpha': 55.3115570732132, 'reg_lambda': 0.2117126832510982, 'aft_loss_distribution_scale': 2.5702340894011844}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,195] Finished trial#73 with value: 0.0 with parameters: {'learning_rate': 0.4016198533578344, 'max_depth': 4, 'min_child_weight': 3.850915777183715, 'reg_alpha': 0.000849042112093537, 'reg_lambda': 0.0007097649394241303, 'aft_loss_distribution_scale': 2.870825592522784}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,233] Finished trial#70 with value: 0.0 with parameters: {'learning_rate': 0.0034416551260573335, 'max_depth': 4, 'min_child_weight': 35.11772491292957, 'reg_alpha': 0.0004406965964769504, 'reg_lambda': 0.00014605250940519563, 'aft_loss_distribution_scale': 2.928889719671252}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,273] Finished trial#69 with value: 0.0 with parameters: {'learning_rate': 0.9000901441537983, 'max_depth': 2, 'min_child_weight': 0.38979272081268934, 'reg_alpha': 10.3074263698832, 'reg_lambda': 71.6197302146713, 'aft_loss_distribution_scale': 1.7140681804708855}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,312] Finished trial#74 with value: 0.0 with parameters: {'learning_rate': 0.038221664139824155, 'max_depth': 8, 'min_child_weight': 0.30182448188940825, 'reg_alpha': 1.896750029258066, 'reg_lambda': 0.0008371584829080369, 'aft_loss_distribution_scale': 39.44143463681112}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,355] Finished trial#72 with value: 0.0 with parameters: {'learning_rate': 0.002001318749643277, 'max_depth': 6, 'min_child_weight': 48.858689933114654, 'reg_alpha': 54.47672102130153, 'reg_lambda': 0.000384261022613494, 'aft_loss_distribution_scale': 2.137766474306843}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,440] Finished trial#75 with value: 0.0 with parameters: {'learning_rate': 0.006286857663837983, 'max_depth': 6, 'min_child_weight': 3.1614349396287538, 'reg_alpha': 8.776911977024648, 'reg_lambda': 0.38991773346296027, 'aft_loss_distribution_scale': 82.52751931083505}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,474] Finished trial#77 with value: 0.0 with parameters: {'learning_rate': 0.12069487896585124, 'max_depth': 8, 'min_child_weight': 0.14689443217717596, 'reg_alpha': 0.008489604806460641, 'reg_lambda': 0.008413358392636775, 'aft_loss_distribution_scale': 43.17325973124927}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,515] Finished trial#80 with value: 0.0 with parameters: {'learning_rate': 0.37479852002147, 'max_depth': 2, 'min_child_weight': 0.1343203982944779, 'reg_alpha': 0.002765630112474541, 'reg_lambda': 0.000249672952770069, 'aft_loss_distribution_scale': 15.905082451189852}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,557] Finished trial#76 with value: 0.0 with parameters: {'learning_rate': 0.014297191270806031, 'max_depth': 2, 'min_child_weight': 5.570565175108005, 'reg_alpha': 0.0034813468093515786, 'reg_lambda': 0.03338330067095035, 'aft_loss_distribution_scale': 1.5157017205920582}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,592] Finished trial#79 with value: 0.0 with parameters: {'learning_rate': 0.17291779720618028, 'max_depth': 6, 'min_child_weight': 7.882956854547507, 'reg_alpha': 0.0021200107573546545, 'reg_lambda': 17.06600095228556, 'aft_loss_distribution_scale': 41.39430467525209}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,642] Finished trial#78 with value: 0.0 with parameters: {'learning_rate': 0.25903235916619827, 'max_depth': 6, 'min_child_weight': 5.101627625007757, 'reg_alpha': 0.00037318963487295196, 'reg_lambda': 0.0003917782052117373, 'aft_loss_distribution_scale': 2.5405916661730523}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,716] Finished trial#81 with value: 0.0 with parameters: {'learning_rate': 0.006054662533016355, 'max_depth': 6, 'min_child_weight': 7.927040238316306, 'reg_alpha': 21.19720148696975, 'reg_lambda': 0.006741577033069992, 'aft_loss_distribution_scale': 5.725769423997899}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:44,757] Finished trial#83 with value: 0.0 with parameters: {'learning_rate': 0.49067340009678545, 'max_depth': 10, 'min_child_weight': 11.68581586046881, 'reg_alpha': 0.3057344988395103, 'reg_lambda': 0.01317128432692736, 'aft_loss_distribution_scale': 49.728017180459794}. Best is trial#2 with value: 0.0.
